source_id,jsd,jaccard,dom_eq,dom_A,dom_Ap,nucleo_A,nucleo_Ap,tci1,tci2,h1,h2,hn1,hn2
S101267242,0.05510421668385779,1.0,True,3312,3312,3312,3312,0.5500013199999999,0.4475,0.9902515242533827,1.287541043695602,0.5526698986443831,0.5859851819318979
S102059668,0.023364168713767338,0.5,True,3312,3312,3312,3304|3312,0.27255924261757175,0.26714427893499537,2.1047215619421764,2.1610063806314583,0.612908970421669,0.6235346377332825
S102320310,0.05336867312938149,0.75,True,3312,3312,1710|3311|3312,1710|3311|3312|3315,0.12777816615533552,0.0974172381321683,2.564855239783519,2.791013554142094,0.7872250591264118,0.8205973488013605
S103448410,0.024632981683652445,1.0,True,3320,3320,3312|3320,3312|3320,0.27158980505843117,0.28380000000000005,1.7499655076513152,1.7060319724343112,0.6311666399038225,0.6153209665572493
S105091050,0.07512425339027987,0.25,True,3312,3312,1208|3312,1202|1211|3312,0.249426369417251,0.18074872985919582,1.930402898646321,2.070170832818899,0.7526085819319218,0.8330980292541433
S105812952,0.03529012307847827,1.0,True,3312,3312,2002|3312,2002|3312,0.2688501173349658,0.22928184,1.9127143102538806,2.0110835040329844,0.6496022922490189,0.7098242383518439
S10591207,0.04593863146785651,1.0,True,3312,3312,3312|3320,3312|3320,0.2522545360104659,0.21351592224095714,2.429411842300181,2.641760939181496,0.645914008181455,0.6752927923777309
S10599296,0.020083676141762385,1.0,True,3106,3106,3106,3106,0.5715567200897229,0.5038780984603481,1.2061536251198222,1.4726785310249868,0.351239988181802,0.4109587688294629
S107313304,0.03372019862989416,1.0,True,3312,3312,3312,3312,0.417348621611591,0.35898089799996413,1.4744996155314738,1.61423493467192,0.5204336689380695,0.5697541055488868
S108587369,0.0068000864449504796,1.0,True,3312,3312,3312,3312,0.30558288352087537,0.31780578797953807,1.6257285252995504,1.6102083461735013,0.7399009377869257,0.7328373998645232
S108741841,0.036827025901032776,1.0,True,3312,3312,3312,3312,0.36598748080564075,0.34617063069156767,1.6795691087781313,1.867303207745221,0.6057765060161265,0.6133320564855218
S10875568,0.015211659886478351,1.0,True,3312,3312,3312|3320,3312|3320,0.21099714846033643,0.21119690024941526,2.1504832921441004,2.1704930245348555,0.6453635380353742,0.6381555614023617
S109658313,0.05903086099328216,1.0,True,3312,3312,3312,3312,0.37526926178891923,0.33331669001550734,1.688064635250905,1.8189700969337557,0.5733060345943355,0.6071871351760744
